Alexander Ikonikoff
Alice Belmore
Maurice Vaucaire
Fielding Yost
Nikolay Ognyov
Karel Klostermann
Henry Pleasant
H.A. Saintsbury
Harry Steinfeldt
Dong Yuen Jung
Marian Marianski
Lord Stanley
Oley Speaks
Großherzog Friedrich Franz IV von Mecklenburg-Schwerin
Evelyn Balfour
Erik Lassen
Oskar Lindberg
Charles L. Johnson
Bob Gladman
Irén Csáki
Edwin A. Abbott
Ada Kosmowska
Nikolai Nissen Paus
Otakar Ostrcil
Petr Kashevskii
Carlo Schmid
Aino Sibelius
Peggy Pearce
Aristides Junqueira
Pietro Caruso
Takitarô Minakami
Bruno Zirato
Harry Steier
Leó Leöwey
Billie Burke
Roscoe Ails
Louis K. Ansell
Sybil Archdale
Edward Arnold
Victor Arnold
Margaret Ayer Barnes
Lee Bartholomew
Johannes R. Becher
Hans Behal
James Bell
Walter Bell
Grace Benham
Ladbroke Black
Eumenio Blanco
Anna Bonacci
Sylvia Breamer
Ethel Broadhurst
Laidman Browne
Michelette Burani
Flo Buzby
Carlo Campogalliani
Emile Chautard
George Chirello
Walter Clinton
Emanuel Cohen
Francis D. Coman
Kathleen Comegys
Manuel Correia
William Courtleigh
Samuel Cummins
Frank Currier
Hugh Dalton
Aldo De Benedetti
Max Dejean
André Derain
George Dewey
Evelyn Dockson
Joseph Dunninger
E. Dyer
Lenke Egyed
Nils Ferlin
Constant Franke
László Gabányi
Tay Garnett
Howard Gaye
George Gissing
Oskar Maria Graf
Riccardo Gualino
Adolf Gärtner
William F. Halsey
Molly Hamley-Clifford
Rex Harold
Charles Henkel Jr.
Donald Heywood
Sigi Hofer
Stanley Holloway
Gustaf 'Stålfarfar' Håkansson
Walter Jones
Voja Jovanovic
Jack Joyce
Frantisek Juhan
Lidiya Kartashyova
Konstantin Kuznetsov
Harry Lauder
W.E. Lawrence
Hedvig Lindby
John Loder
Bruno Lopinski
Otho Lovering
Allan Ross MacDougall
Alfred Machard
George MacQuarrie
Karl Mantzius
Antoni Marczynski
George C. Marshall
Giovanni Martinelli
Emilie Melville
Václav Menger
Josef Mischel
Herbert Morrison
F.N. Murphy
J.B.L. Noel
Paisley Noon
Hermann Oberth
Winifred Oughton
Seena Owen
E.L. Park
Cliff Parkinson
Marius Petipa
Marco Praga
Francesco Balilla Pratella
Robert Presnell Sr.
Bruno Rahn
Alfred G. Robyn
Ralph Sanford
Paul Schmidt
Frederick Schrecker
Sholom Secunda
David Selman
Peter L. Shamray
George Bernard Shaw
Henry Sherwood
Made Siamé
Sam Sihvo
Nellie Slattery
Olive Sloane
Joe Stöckel
Slim Talbot
Jane Talent
Ernest Lawrence Thayer
Jameson Thomas
Rezsö Török
Blanche Upright
Minerva Urecal
Frits Van Dijk
W.S. Van Dyke
Carol Veazie
Charles Willumsen
Darr Wittenmyer
Fred Woodward
Helena Zahorska
Aleksei Zinovyev
James Graham
Sophie Köhler-van Dijk
Georgi Atanasov
José Hernández
Josef Wenig
Grand Duke Sergei
Alice Erdõs
Reinhard Köster
A.W. Newington
Max Munn Autrey
Antônio Campos
Joe Mole
Gavvy Cravath
Elise Ottesen-Jensen
Tivadar Fehér
Septimus Winner
Richard Coburn
John Huntington
Dick Hoblitzel
Lew White
Joe Oliver
Charles Duveyrier
Rafaela Boncza
Rolland Hamblen
Graham
Boris Zhitkov
Sidney Street
Lajos Laurisin
William J. Gaynor
George Botsford
Friedrich Weigelt
Max Mothes
Del Baker
Richard Skowronnek
Igino Bonfioli
Clare Bauroff
Sol Jaffe
Master Gabriel
Szidi Rákosi
Bruno Lechowski
Max Borch
Daphne Grey
Paddy Driscoll
Sid Hatfield
Arnold Kraushaar
Frank Sikora
Georg Berthelsen
Arsenal F.C.
Erik Ramdahl
Prince Albert
Sumiko Yamashita
Zsigmond Széchenyi
Félix Éboué
Basil Rathbone
Carl Koch
Lee Zahler
George Bahr
Barry Baxter
Yevgeni Bryunchugin
Fred Bulín
Richard Burke
Eugene Burr
Katharine Newlin Burt
Juan A. Caicedo
Nina Campana
Paul Capellani
François Carron
Tom Casement
Georges Charlia
Harindranath Chattopadhyay
Ivan Christy
Mattie Connolly
Fernand Crommelynck
Frank T. Davis
Alda de Aguiar
John Decker
Marianne Deeming
Adele DeGarde
Herbert Delmar
Jimmy Dime
Maggie Dorsey
George S. Dougherty
Lew Eckles
Gerd Egede-Nissen
Else Ehser
Peter Elfelt
Joseph Farnham
Benjamin Fondane
Hal Forde
Billy Gilbert
Tamara Glebova
John Halliday
Frank Hamilton
Mark Hamilton
Caroline Harris
Katherine Corri Harris
Wanda Hawley
F. Hugh Herbert
Aage Hertel
Alfred Hertz
Ernst Hofmann
Josy Holsten
Jack Hopkins
Sydney Howard
Alice Howell
Walter Hudd
Roddy Hughes
Hugh Huntley
Anni Hämäläinen
Harry Jackson
Sybil Jane
Ivan Kahn
Charles Willy Kayser
Mae Kemp
Charles Kennedy
Frank Kesson
Paul Kester
Josef Kobík
Arnold Kordyum
Howard Lang
John Larkin
Gustave Le Rouge
John W. Leezer
Palmyre Levasseur
Winnie Lightner
Hans Lorenz
Abigael Heber Magnussøn
Cyril Maude
Hiram Percy Maxim
Frank McIntyre
William McKey
Hercules Mendez
Arthur Mertz
Silvio Minciotti
Emilio Mola
Helena Monczáková
Tom Moore
Roy Musgrave
Hans Mühlhofer
Yoshie Nakagawa
Nancy Nash
Max Neufeld
George O'Brien
Charles Ogle
Michael Ohrenbach
Bryan Powley
Albert Petit
Lev Revutsky
Lady Rhys Williams
Forrest Robinson
Mabel Row
Giulio Rufini
Montague Rutherford
Joan Sawyer
Ingolf Schanche
William Sheer
William L. Sherrill
Tod Slaughter
Phillips Smalley
Wilbur Daniel Steele
George Stillwell
A. Randall Terraneau
Fritz Thiery
Jean Thomas
Nona Thomas
William Tilghman
Sergio Tofano
Ernest Torrence
Louis Treumann
Carl Van Vechten
Norma Varden
Antonio Alfonso Vidal
Hubert Vincent-Bréchignac
Tibor von Janny
Percy Walsh
Austin Webb
Stephen French Whitman
Guy Wilkerson
Nancy Mann Waddel Woodrow
Oscar Åberg
Konstanty Kruglowski
Edith Hamilton
Robert Hasti
Julius Balting
Farrington Daniels
Ben Alley
László Adorján
Ernst Krüger
A.S.W. Rosenbach
Klimenty Nagorny
Roberto Banquells Sr.
Florent Schmitt
George Chalmers
J.N. Douvan-Tarzow
Courtney Burr
Athol Tier
Willard Blackmore
Zofia Molska
Jack Miller
